CustomerID,SignupDate,ChurnDate,Plan,MonthlyCharge,TenureMonths,IsChurned,ChurnReason,TotalCharges,SupportTickets,UsageFrequency
CUST-0062,2024-02-19,2026-01-09,Standard,19.99,23,1,Price too high,459.77,9,Medium
CUST-0063,2024-12-25,,Standard,19.99,22,0,N/A,439.78,1,Medium
CUST-0064,2024-01-02,2025-06-25,Standard,19.99,18,1,Other,359.82,9,Medium
CUST-0065,2024-02-23,,Premium,29.99,23,0,N/A,689.77,3,Low
CUST-0066,2024-04-15,,Basic,9.99,11,0,N/A,109.89,0,High
CUST-0067,2024-09-16,,Basic,9.99,21,0,N/A,209.79,1,Medium
CUST-0068,2024-11-05,,Standard,19.99,12,0,N/A,239.88,7,Low
CUST-0069,2024-07-09,2024-12-06,Premium,29.99,5,1,No longer needed,149.95,3,Medium
CUST-0070,2024-08-05,,Standard,19.99,23,0,N/A,459.77,4,Medium
CUST-0071,2024-02-13,,Standard,19.99,9,0,N/A,179.91,0,Medium
CUST-0072,2024-06-10,2025-03-07,Basic,9.99,9,1,Price too high,89.91,1,Medium
CUST-0073,2024-07-20,,Premium,29.99,22,0,N/A,659.78,6,High
CUST-0074,2024-09-26,,Basic,9.99,10,0,N/A,99.9,0,High
CUST-0075,2024-12-16,2026-10-07,Standard,19.99,22,1,Technical issues,439.78,9,Medium
CUST-0076,2024-10-30,2026-05-23,Basic,9.99,19,1,Other,189.81,7,High
CUST-0077,2024-09-27,,Basic,9.99,1,0,N/A,9.99,8,Medium
CUST-0078,2024-08-02,,Basic,9.99,7,0,N/A,69.93,7,Low
CUST-0079,2024-09-08,,Basic,9.99,4,0,N/A,39.96,1,Medium
CUST-0080,2024-07-08,,Standard,19.99,1,0,N/A,19.99,0,High
CUST-0081,2024-10-22,,Basic,9.99,15,0,N/A,149.85,8,High
CUST-0082,2024-07-31,,Basic,9.99,8,0,N/A,79.92,6,High
CUST-0083,2024-07-26,,Basic,9.99,12,0,N/A,119.88,8,High
CUST-0084,2024-08-24,,Basic,9.99,22,0,N/A,219.78,5,Low
CUST-0085,2024-12-03,,Basic,9.99,22,0,N/A,219.78,3,High
CUST-0086,2024-02-22,,Basic,9.99,18,0,N/A,179.82,0,Medium
CUST-0087,2024-10-06,2025-12-30,Standard,19.99,15,1,Other,299.85,5,High
CUST-0088,2024-08-04,2025-12-27,Standard,19.99,17,1,Found better alternative,339.83,8,Medium
CUST-0089,2024-09-08,,Standard,19.99,14,0,N/A,279.86,9,Medium
CUST-0090,2024-07-06,,Basic,9.99,14,0,N/A,139.86,0,Low
CUST-0091,2024-02-10,,Basic,9.99,18,0,N/A,179.82,0,Medium
CUST-0092,2024-06-05,,Premium,29.99,20,0,N/A,599.8,2,Medium
CUST-0093,2024-01-15,,Standard,19.99,18,0,N/A,359.82,2,High
CUST-0094,2024-10-27,,Basic,9.99,16,0,N/A,159.84,6,Medium
CUST-0095,2024-03-05,,Basic,9.99,1,0,N/A,9.99,3,Medium
CUST-0096,2024-12-10,2026-10-31,Basic,9.99,23,1,Price too high,229.77,9,Low
CUST-0097,2024-11-22,,Basic,9.99,11,0,N/A,109.89,9,Low
CUST-0098,2024-01-09,,Basic,9.99,15,0,N/A,149.85,6,Low
CUST-0099,2024-12-09,2025-12-04,Standard,19.99,12,1,Price too high,239.88,2,High
CUST-0100,2024-05-08,,Standard,19.99,8,0,N/A,159.92,0,Medium
CUST-0101,2024-05-15,,Standard,19.99,22,0,N/A,439.78,0,Medium
CUST-0102,2024-03-03,,Standard,19.99,20,0,N/A,399.8,2,High
CUST-0103,2024-05-18,,Premium,29.99,6,0,N/A,179.94,7,Medium
CUST-0104,2024-03-21,2024-06-19,Standard,19.99,3,1,Poor customer service,59.97,3,Medium
CUST-0105,2024-06-11,,Premium,29.99,13,0,N/A,389.87,3,Low
CUST-0106,2024-10-15,,Basic,9.99,13,0,N/A,129.87,8,Medium
CUST-0107,2024-09-17,,Basic,9.99,2,0,N/A,19.98,3,Medium
CUST-0108,2024-08-18,,Basic,9.99,5,0,N/A,49.95,1,High
CUST-0109,2024-02-10,2025-07-04,Standard,19.99,17,1,No longer needed,339.83,3,Medium
CUST-0110,2024-01-28,2024-07-26,Premium,29.99,6,1,No longer needed,179.94,8,Medium
CUST-0111,2024-05-14,,Basic,9.99,2,0,N/A,19.98,8,Low
CUST-0112,2024-07-19,,Premium,29.99,4,0,N/A,119.96,8,Medium
CUST-0113,2024-11-23,,Basic,9.99,22,0,N/A,219.78,0,High
CUST-0114,2024-09-24,2025-08-20,Premium,29.99,11,1,Price too high,329.89,8,Medium
CUST-0115,2024-02-02,,Basic,9.99,8,0,N/A,79.92,4,Medium
CUST-0116,2024-02-17,,Basic,9.99,12,0,N/A,119.88,2,Medium
CUST-0117,2024-03-02,,Basic,9.99,8,0,N/A,79.92,8,Medium
CUST-0118,2024-08-03,,Basic,9.99,11,0,N/A,109.89,1,High
CUST-0119,2024-10-19,,Basic,9.99,22,0,N/A,219.78,1,Medium
CUST-0120,2024-04-08,,Basic,9.99,20,0,N/A,199.8,0,Medium
CUST-0121,2024-06-20,,Premium,29.99,8,0,N/A,239.92,8,High
CUST-0122,2024-12-25,,Standard,19.99,8,0,N/A,159.92,9,Medium
CUST-0123,2024-08-01,,Basic,9.99,17,0,N/A,169.83,7,Medium
CUST-0124,2024-02-04,2025-09-26,Standard,19.99,20,1,Poor customer service,399.8,7,Medium
CUST-0125,2024-08-14,,Standard,19.99,20,0,N/A,399.8,9,Low
CUST-0126,2024-04-10,,Basic,9.99,23,0,N/A,229.77,0,Low
CUST-0127,2024-05-10,,Basic,9.99,16,0,N/A,159.84,6,Medium
CUST-0128,2024-09-13,,Basic,9.99,14,0,N/A,139.86,4,Medium
CUST-0129,2024-01-05,,Basic,9.99,11,0,N/A,109.89,0,Low
CUST-0130,2024-08-05,2025-03-03,Standard,19.99,7,1,Price too high,139.93,0,Medium
CUST-0131,2024-09-11,,Basic,9.99,16,0,N/A,159.84,6,Medium
CUST-0132,2024-12-24,2026-01-18,Standard,19.99,13,1,Technical issues,259.87,1,Medium
CUST-0133,2024-10-09,,Standard,19.99,15,0,N/A,299.85,7,Medium
CUST-0134,2024-07-25,,Basic,9.99,16,0,N/A,159.84,5,Medium
CUST-0135,2024-01-15,,Standard,19.99,21,0,N/A,419.79,8,High
CUST-0136,2024-12-11,,Basic,9.99,23,0,N/A,229.77,8,High
CUST-0137,2024-02-11,2024-11-07,Premium,29.99,9,1,Technical issues,269.91,0,Low
CUST-0138,2024-06-27,2024-09-25,Basic,9.99,3,1,Technical issues,29.97,9,Medium
CUST-0139,2024-03-03,2025-09-24,Premium,29.99,19,1,Other,569.81,1,Medium
CUST-0140,2024-12-17,2026-08-09,Standard,19.99,20,1,Price too high,399.8,5,Low
CUST-0141,2024-08-18,2025-01-15,Basic,9.99,5,1,No longer needed,49.95,6,Medium
CUST-0142,2024-08-28,,Standard,19.99,10,0,N/A,199.9,3,Medium
CUST-0143,2024-02-21,,Premium,29.99,17,0,N/A,509.83,6,Low
CUST-0144,2024-04-05,,Standard,19.99,15,0,N/A,299.85,9,Medium
CUST-0145,2024-08-09,,Premium,29.99,23,0,N/A,689.77,6,High
CUST-0146,2024-08-18,2025-04-15,Premium,29.99,8,1,No longer needed,239.92,6,Low
CUST-0147,2024-08-24,,Basic,9.99,15,0,N/A,149.85,4,Medium
CUST-0148,2024-05-22,,Basic,9.99,21,0,N/A,209.79,7,Medium
CUST-0149,2024-06-19,,Standard,19.99,14,0,N/A,279.86,8,Low
CUST-0150,2024-01-29,,Basic,9.99,20,0,N/A,199.8,6,High
CUST-0151,2024-02-05,,Premium,29.99,7,0,N/A,209.93,7,Medium
CUST-0152,2024-01-13,,Premium,29.99,21,0,N/A,629.79,7,Medium
CUST-0153,2024-06-08,,Basic,9.99,23,0,N/A,229.77,9,Medium
CUST-0154,2024-11-22,,Basic,9.99,12,0,N/A,119.88,5,Medium
CUST-0155,2024-07-05,,Standard,19.99,17,0,N/A,339.83,1,High
CUST-0156,2024-08-30,,Basic,9.99,17,0,N/A,169.83,6,High
CUST-0157,2024-03-26,,Premium,29.99,10,0,N/A,299.9,7,Medium
CUST-0158,2024-10-10,,Basic,9.99,19,0,N/A,189.81,6,High
CUST-0159,2024-03-06,,Standard,19.99,14,0,N/A,279.86,5,High
CUST-0160,2024-06-18,,Basic,9.99,11,0,N/A,109.89,8,Low
CUST-0161,2024-02-14,,Standard,19.99,2,0,N/A,39.98,6,High
CUST-0162,2024-03-02,,Basic,9.99,18,0,N/A,179.82,9,High
CUST-0163,2024-05-13,,Standard,19.99,7,0,N/A,139.93,0,Medium
CUST-0164,2024-10-10,,Basic,9.99,12,0,N/A,119.88,3,Low
CUST-0165,2024-01-28,,Standard,19.99,2,0,N/A,39.98,8,High
CUST-0166,2024-04-17,2025-12-08,Premium,29.99,20,1,Other,599.8,4,Medium
CUST-0167,2024-02-13,,Basic,9.99,18,0,N/A,179.82,3,Medium
CUST-0168,2024-12-05,2025-06-03,Basic,9.99,6,1,Technical issues,59.94,4,High
CUST-0169,2024-10-12,,Basic,9.99,10,0,N/A,99.9,2,Medium
CUST-0170,2024-11-26,,Standard,19.99,20,0,N/A,399.8,5,Medium
CUST-0171,2024-05-07,,Standard,19.99,15,0,N/A,299.85,4,High
CUST-0172,2024-12-13,,Standard,19.99,5,0,N/A,99.95,5,Medium
CUST-0173,2024-08-18,,Basic,9.99,20,0,N/A,199.8,6,Medium
CUST-0174,2024-07-08,,Basic,9.99,3,0,N/A,29.97,4,High
CUST-0175,2024-08-12,,Standard,19.99,5,0,N/A,99.95,5,High
CUST-0176,2024-10-09,,Basic,9.99,8,0,N/A,79.92,9,Medium
CUST-0177,2024-04-30,,Premium,29.99,8,0,N/A,239.92,2,Medium
CUST-0178,2024-04-25,,Basic,9.99,8,0,N/A,79.92,9,Low
CUST-0179,2024-08-20,,Standard,19.99,12,0,N/A,239.88,9,High
CUST-0180,2024-09-15,,Basic,9.99,23,0,N/A,229.77,7,Medium
CUST-0181,2024-12-24,2025-08-21,Basic,9.99,8,1,Technical issues,79.92,9,Medium
CUST-0182,2024-07-16,2025-06-11,Standard,19.99,11,1,Technical issues,219.89,3,Medium
CUST-0183,2024-05-16,2025-07-10,Standard,19.99,14,1,Poor customer service,279.86,1,Medium
CUST-0184,2024-11-13,,Premium,29.99,8,0,N/A,239.92,0,Medium
CUST-0185,2024-06-13,2025-04-09,Basic,9.99,10,1,Poor customer service,99.9,8,High
CUST-0186,2024-08-12,2025-03-10,Basic,9.99,7,1,Price too high,69.93,6,High
CUST-0187,2024-11-02,,Standard,19.99,17,0,N/A,339.83,3,Low
CUST-0188,2024-08-21,,Standard,19.99,4,0,N/A,79.96,2,Medium
CUST-0189,2024-06-20,2025-07-15,Basic,9.99,13,1,Other,129.87,1,High
CUST-0190,2024-05-31,,Basic,9.99,4,0,N/A,39.96,9,High
CUST-0191,2024-11-10,,Basic,9.99,5,0,N/A,49.95,5,Low
CUST-0192,2024-06-08,,Premium,29.99,22,0,N/A,659.78,8,Medium
CUST-0193,2024-04-05,,Basic,9.99,4,0,N/A,39.96,4,Medium
CUST-0194,2024-08-20,2026-02-11,Basic,9.99,18,1,Poor customer service,179.82,3,High
CUST-0195,2024-06-28,,Basic,9.99,6,0,N/A,59.94,7,High
CUST-0196,2024-04-22,,Basic,9.99,23,0,N/A,229.77,6,Medium
CUST-0197,2024-11-13,,Basic,9.99,22,0,N/A,219.78,7,High
CUST-0198,2024-02-21,,Standard,19.99,2,0,N/A,39.98,8,Medium
CUST-0199,2024-09-24,,Basic,9.99,23,0,N/A,229.77,4,High
CUST-0200,2024-10-21,,Premium,29.99,11,0,N/A,329.89,3,Low
CUST-0201,2024-04-22,2025-06-16,Basic,9.99,14,1,Price too high,139.86,9,High
CUST-0202,2024-04-10,,Standard,19.99,5,0,N/A,99.95,7,High
CUST-0203,2024-04-22,,Premium,29.99,6,0,N/A,179.94,9,Low
CUST-0204,2024-03-21,,Standard,19.99,10,0,N/A,199.9,7,Medium
CUST-0205,2024-07-05,,Standard,19.99,8,0,N/A,159.92,0,Medium
CUST-0206,2024-04-22,2025-06-16,Basic,9.99,14,1,Technical issues,139.86,9,Medium
CUST-0207,2024-01-02,2024-04-01,Basic,9.99,3,1,Technical issues,29.97,8,Medium
CUST-0208,2024-05-09,2025-05-04,Standard,19.99,12,1,Other,239.88,9,High
CUST-0209,2024-08-07,,Premium,29.99,16,0,N/A,479.84,1,High
CUST-0210,2024-02-23,,Standard,19.99,23,0,N/A,459.77,6,Medium
CUST-0211,2024-12-08,,Standard,19.99,17,0,N/A,339.83,7,Medium
CUST-0212,2024-08-11,,Standard,19.99,1,0,N/A,19.99,5,Low
CUST-0213,2024-08-12,2026-07-03,Basic,9.99,23,1,Found better alternative,229.77,0,High
CUST-0214,2024-05-05,2025-03-01,Basic,9.99,10,1,No longer needed,99.9,8,High
CUST-0215,2024-05-09,2026-03-30,Standard,19.99,23,1,Found better alternative,459.77,5,Medium
CUST-0216,2024-02-22,2024-12-18,Premium,29.99,10,1,Poor customer service,299.9,0,Low
CUST-0217,2024-06-20,2026-03-12,Basic,9.99,21,1,Found better alternative,209.79,4,Medium
CUST-0218,2024-08-05,,Standard,19.99,2,0,N/A,39.98,5,High
CUST-0219,2024-06-08,,Basic,9.99,9,0,N/A,89.91,5,Low
CUST-0220,2024-07-16,,Standard,19.99,22,0,N/A,439.78,7,High
CUST-0221,2024-09-03,,Basic,9.99,13,0,N/A,129.87,4,Low
CUST-0222,2024-11-19,,Basic,9.99,16,0,N/A,159.84,1,Medium
CUST-0223,2024-07-21,,Standard,19.99,18,0,N/A,359.82,9,Medium
CUST-0224,2024-07-02,2026-01-23,Basic,9.99,19,1,Technical issues,189.81,1,Low
CUST-0225,2024-05-02,,Standard,19.99,12,0,N/A,239.88,9,Medium
CUST-0226,2024-09-11,2025-05-09,Standard,19.99,8,1,Found better alternative,159.92,0,Medium
CUST-0227,2024-10-20,2026-03-14,Premium,29.99,17,1,Technical issues,509.83,0,High
CUST-0228,2024-10-06,,Basic,9.99,15,0,N/A,149.85,0,Medium
CUST-0229,2024-11-20,,Basic,9.99,10,0,N/A,99.9,9,Low
CUST-0230,2024-04-07,,Basic,9.99,15,0,N/A,149.85,0,Medium
CUST-0231,2024-07-16,2025-10-09,Premium,29.99,15,1,Price too high,449.85,8,Medium
CUST-0232,2024-08-27,2026-07-18,Premium,29.99,23,1,Price too high,689.77,7,High
CUST-0233,2024-05-23,2024-12-19,Standard,19.99,7,1,No longer needed,139.93,7,Low
CUST-0234,2024-04-06,,Premium,29.99,13,0,N/A,389.87,8,Low
CUST-0235,2024-07-19,,Standard,19.99,17,0,N/A,339.83,0,Low
CUST-0236,2024-05-03,,Standard,19.99,9,0,N/A,179.91,9,High
CUST-0237,2024-07-05,2025-03-02,Basic,9.99,8,1,Poor customer service,79.92,1,Medium
CUST-0238,2024-11-21,,Standard,19.99,20,0,N/A,399.8,7,Medium
CUST-0239,2024-12-14,,Basic,9.99,21,0,N/A,209.79,3,Medium
CUST-0240,2024-09-15,,Premium,29.99,18,0,N/A,539.82,0,Low
CUST-0241,2024-05-27,,Standard,19.99,13,0,N/A,259.87,3,Medium
CUST-0242,2024-09-08,,Standard,19.99,16,0,N/A,319.84,8,Medium
CUST-0243,2024-12-11,,Basic,9.99,9,0,N/A,89.91,0,Low
CUST-0244,2024-05-26,,Basic,9.99,12,0,N/A,119.88,9,Medium
CUST-0245,2024-05-27,,Basic,9.99,12,0,N/A,119.88,6,Low
CUST-0246,2024-12-17,2025-06-15,Basic,9.99,6,1,No longer needed,59.94,5,Medium
CUST-0247,2024-07-17,2026-02-07,Basic,9.99,19,1,Found better alternative,189.81,0,Medium
CUST-0248,2024-11-03,,Premium,29.99,7,0,N/A,209.93,8,Medium
CUST-0249,2024-05-07,2024-08-05,Standard,19.99,3,1,Price too high,59.97,8,Medium
CUST-0250,2024-02-08,,Basic,9.99,16,0,N/A,159.84,2,Low
CUST-0251,2024-12-03,,Basic,9.99,18,0,N/A,179.82,9,Medium
CUST-0252,2024-12-25,2026-04-19,Basic,9.99,16,1,Poor customer service,159.84,8,Low
CUST-0253,2024-05-08,2026-03-29,Standard,19.99,23,1,Poor customer service,459.77,4,Low
CUST-0254,2024-09-23,2025-04-21,Standard,19.99,7,1,No longer needed,139.93,9,High
CUST-0255,2024-05-30,,Premium,29.99,4,0,N/A,119.96,3,Medium
CUST-0256,2024-10-24,,Basic,9.99,8,0,N/A,79.92,6,High
CUST-0257,2024-04-08,2025-05-03,Premium,29.99,13,1,Poor customer service,389.87,3,Medium
CUST-0258,2024-09-19,,Premium,29.99,13,0,N/A,389.87,5,Medium
CUST-0259,2024-09-08,,Basic,9.99,17,0,N/A,169.83,0,Medium
CUST-0260,2024-05-23,2025-10-15,Premium,29.99,17,1,Other,509.83,2,Medium
CUST-0261,2024-12-11,2025-05-10,Basic,9.99,5,1,Other,49.95,4,High
CUST-0262,2024-04-21,2024-10-18,Premium,29.99,6,1,Poor customer service,179.94,4,Medium
CUST-0263,2024-02-29,,Basic,9.99,19,0,N/A,189.81,2,Medium
CUST-0264,2024-01-02,2025-01-26,Premium,29.99,13,1,No longer needed,389.87,9,Low
CUST-0265,2024-10-30,,Premium,29.99,14,0,N/A,419.86,2,High
CUST-0266,2024-09-10,,Premium,29.99,22,0,N/A,659.78,9,Low
CUST-0267,2024-05-19,,Standard,19.99,4,0,N/A,79.96,9,Medium
CUST-0268,2024-02-06,,Basic,9.99,7,0,N/A,69.93,0,Medium
CUST-0269,2024-06-08,,Basic,9.99,8,0,N/A,79.92,4,Low
CUST-0270,2024-01-09,,Basic,9.99,13,0,N/A,129.87,7,Medium
CUST-0271,2024-08-20,,Basic,9.99,6,0,N/A,59.94,8,Medium
CUST-0272,2024-04-08,,Standard,19.99,6,0,N/A,119.94,1,Medium
CUST-0273,2024-05-26,,Basic,9.99,21,0,N/A,209.79,7,Low
CUST-0274,2024-10-30,,Premium,29.99,3,0,N/A,89.97,9,Medium
CUST-0275,2024-07-26,,Standard,19.99,3,0,N/A,59.97,0,Low
CUST-0276,2024-05-10,2025-06-04,Premium,29.99,13,1,Poor customer service,389.87,3,Medium
CUST-0277,2024-05-31,2026-03-22,Basic,9.99,22,1,Price too high,219.78,2,Medium
CUST-0278,2024-02-23,,Premium,29.99,2,0,N/A,59.98,7,High
CUST-0279,2024-04-29,2025-08-22,Premium,29.99,16,1,No longer needed,479.84,6,Medium
CUST-0280,2024-06-09,,Basic,9.99,22,0,N/A,219.78,1,Medium
CUST-0281,2024-04-25,,Standard,19.99,6,0,N/A,119.94,0,High
CUST-0282,2024-03-15,2024-11-10,Standard,19.99,8,1,Poor customer service,159.92,0,Medium
CUST-0283,2024-04-22,,Basic,9.99,23,0,N/A,229.77,6,Medium
CUST-0284,2024-04-13,2024-12-09,Standard,19.99,8,1,No longer needed,159.92,4,Low
CUST-0285,2024-12-05,,Basic,9.99,6,0,N/A,59.94,2,Low
CUST-0286,2024-09-10,2025-11-04,Basic,9.99,14,1,Found better alternative,139.86,5,Medium
CUST-0287,2024-08-14,,Basic,9.99,3,0,N/A,29.97,8,Low
CUST-0288,2024-04-21,,Basic,9.99,10,0,N/A,99.9,6,Medium
CUST-0289,2024-04-08,,Basic,9.99,3,0,N/A,29.97,4,Medium
CUST-0290,2024-06-01,2025-05-27,Basic,9.99,12,1,Poor customer service,119.88,3,Medium
CUST-0291,2024-12-14,,Premium,29.99,17,0,N/A,509.83,7,Low
CUST-0292,2024-12-03,2025-05-02,Standard,19.99,5,1,Price too high,99.95,6,Medium
CUST-0293,2024-07-12,,Premium,29.99,20,0,N/A,599.8,6,Medium
CUST-0294,2024-11-05,,Basic,9.99,9,0,N/A,89.91,0,High
CUST-0295,2024-06-11,,Basic,9.99,21,0,N/A,209.79,4,Medium
CUST-0296,2024-07-26,,Standard,19.99,20,0,N/A,399.8,3,Medium
CUST-0297,2024-06-17,2025-01-13,Basic,9.99,7,1,Price too high,69.93,9,Medium
CUST-0298,2024-06-09,,Basic,9.99,22,0,N/A,219.78,4,Low
CUST-0299,2024-03-08,,Standard,19.99,4,0,N/A,79.96,4,Low
CUST-0300,2024-10-15,,Basic,9.99,13,0,N/A,129.87,4,Medium
CUST-0301,2024-10-03,,Standard,19.99,13,0,N/A,259.87,0,High
CUST-0302,2024-10-30,2025-08-26,Standard,19.99,10,1,Found better alternative,199.9,9,Medium
CUST-0303,2024-05-14,,Basic,9.99,18,0,N/A,179.82,1,Medium
CUST-0304,2024-07-13,,Basic,9.99,17,0,N/A,169.83,4,Medium
CUST-0305,2024-05-07,2025-12-28,Standard,19.99,20,1,Poor customer service,399.8,0,High
CUST-0306,2024-02-02,2025-09-24,Basic,9.99,20,1,No longer needed,199.8,2,Medium
CUST-0307,2024-06-24,,Basic,9.99,13,0,N/A,129.87,0,Low
CUST-0308,2024-01-22,,Premium,29.99,17,0,N/A,509.83,9,High
CUST-0309,2024-08-25,,Basic,9.99,22,0,N/A,219.78,0,Low
CUST-0310,2024-06-06,,Standard,19.99,4,0,N/A,79.96,0,Medium
CUST-0311,2024-02-07,2024-03-08,Premium,29.99,1,1,Poor customer service,29.99,6,Medium
CUST-0312,2024-08-17,,Basic,9.99,1,0,N/A,9.99,6,Low
CUST-0313,2024-12-30,,Basic,9.99,15,0,N/A,149.85,4,Low
CUST-0314,2024-02-20,,Basic,9.99,13,0,N/A,129.87,4,High
CUST-0315,2024-09-20,,Basic,9.99,17,0,N/A,169.83,9,Medium
CUST-0316,2024-10-09,,Basic,9.99,8,0,N/A,79.92,7,Medium
CUST-0317,2024-01-27,,Standard,19.99,18,0,N/A,359.82,6,Medium
CUST-0318,2024-08-13,,Basic,9.99,13,0,N/A,129.87,0,High
CUST-0319,2024-10-03,,Standard,19.99,23,0,N/A,459.77,5,Medium
CUST-0320,2024-10-12,,Premium,29.99,14,0,N/A,419.86,0,High
CUST-0321,2024-04-06,,Premium,29.99,8,0,N/A,239.92,0,High
CUST-0322,2024-10-10,,Standard,19.99,8,0,N/A,159.92,0,Medium
CUST-0323,2024-11-12,,Basic,9.99,15,0,N/A,149.85,0,High
CUST-0324,2024-10-30,,Standard,19.99,13,0,N/A,259.87,2,Medium
CUST-0325,2024-05-26,,Standard,19.99,7,0,N/A,139.93,0,Medium
CUST-0326,2024-01-04,,Basic,9.99,5,0,N/A,49.95,4,Low
